exhaustive_data,D1,D10,D2,D3,D4,D5,D6,D7,D8,D9 
0.275811,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.253333,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.229544,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.2235,-999,-999,0.2235,-999,-999,-999,-999,-999,-999,-999
0.221356,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.243011,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.240378,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.194378,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.133756,-999,-999,-999,-999,0.133756,-999,-999,-999,-999,-999
0.0948667,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0763111,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.0763111
0.0795556,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0784,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0759889,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0759111,-999,0.0759111,-999,-999,-999,-999,-999,-999,-999,-999
0.0789444,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0788111,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0768889,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0702222,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0663222,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0631778,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0651111,-999,-999,-999,-999,-999,-999,-999,0.0651111,-999,-999
0.0714444,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0785889,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0870111,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0936556,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0973556,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.101278,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.1011,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.103867,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.103867
0.101589,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0991111,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.0991111
0.0954667,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.096,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0996111,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.101778,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.1042,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0991111,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0999333,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0934444,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0914889,-999,-999,-999,-999,-999,-999,-999,-999,0.0914889,-999
0.0826556,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0816889,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0788444,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0858111,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0923778,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0988222,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0964445,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0976444,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0899667,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0849333,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0836889,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0899667,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0905778,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0868111,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0882667,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0886556,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0904222,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0913222,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0906111,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0889111,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.083225,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0839667,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0439875,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0436182,-999,-999,-999,-999,-999,-999,0.0436182,-999,-999,-999
0.0430833,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.04075,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0429917,-999,-999,-999,-999,-999,0.0429917,-999,-999,-999,-999
0.0411667,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0396917,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0410083,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0451083,-999,-999,-999,-999,0.0451083,-999,-999,-999,-999,-999
0.0481667,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0474,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.047725,-999,-999,0.047725,-999,-999,-999,-999,-999,-999,-999
0.0483583,-999,-999,-999,-999,-999,-999,0.0483583,-999,-999,-999
0.0483667,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0488333,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.0488333
0.049825,-999,0.049825,-999,-999,-999,-999,-999,-999,-999,-999
0.0506167,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
