0	1.0855	1.10558	1.05968	0.0115776	-1
1	1.08414	1.10399	1.05968	0.0118335	-1
2	1.07868	1.09738	1.05968	0.0109559	-1
3	1.07485	1.0916	1.05442	0.0108602	-1
4	1.07341	1.0916	1.05442	0.0106234	-1
5	1.06975	1.0916	1.05442	0.00978064	-1
6	1.06834	1.0916	1.05442	0.00976437	-1
7	1.06549	1.08991	1.05284	0.00817284	-1
8	1.06431	1.08991	1.05284	0.00801481	-1
9	1.06318	1.08991	1.05093	0.00833278	-1
10	1.06311	1.08991	1.05093	0.00836656	-1
11	1.06102	1.07178	1.05093	0.00598114	-1
12	1.06012	1.07178	1.05093	0.00595448	-1
13	1.05803	1.06964	1.04805	0.00530915	-1
14	1.05653	1.06964	1.04805	0.00502138	-1
15	1.05455	1.05989	1.04805	0.00351532	-1
16	1.05417	1.05989	1.04805	0.00366382	-1
17	1.05351	1.05989	1.04805	0.0033291	-1
18	1.05317	1.05989	1.04673	0.00325396	-1
19	1.05275	1.05803	1.04673	0.00309379	-1
20	1.05168	1.05759	1.04673	0.00282685	-1
21	1.05142	1.05759	1.04673	0.00285015	-1
22	1.05118	1.05759	1.04673	0.0029039	-1
23	1.05078	1.0562	1.04673	0.0027197	-1
24	1.05001	1.0562	1.04673	0.00230276	-1
25	1.04938	1.05251	1.04654	0.00177356	-1
26	1.049	1.05182	1.04654	0.00171991	-1
27	1.04872	1.05182	1.04654	0.00154071	-1
28	1.04846	1.05119	1.04654	0.00128223	-1
29	1.04834	1.05119	1.04654	0.00123171	-1
30	1.04807	1.05028	1.04654	0.000978078	-1
31	1.04791	1.05028	1.04617	0.00101617	-1
32	1.04775	1.05028	1.04617	0.00100315	-1
33	1.04769	1.05023	1.04613	0.00102549	-1
34	1.04761	1.05023	1.04613	0.00107898	-1
35	1.0474	1.05023	1.04604	0.00114604	-1
36	1.04723	1.04956	1.04601	0.00105985	-1
37	1.04676	1.04833	1.04582	0.000671758	-1
38	1.04666	1.04833	1.0457	0.000742832	-1
39	1.0465	1.04833	1.0457	0.000673335	-1
40	1.04632	1.04833	1.04503	0.000749457	-1
41	1.04627	1.04785	1.04503	0.000659969	-1
42	1.04611	1.04754	1.04479	0.000625554	-1
43	1.04592	1.04754	1.04479	0.000599549	-1
44	1.04586	1.04754	1.04479	0.000624945	-1
45	1.04572	1.04754	1.04479	0.00061123	-1
46	1.04569	1.04754	1.04479	0.000615722	-1
47	1.04564	1.04702	1.04479	0.000557163	-1
48	1.04561	1.04702	1.04479	0.000560638	-1
49	1.04552	1.04702	1.04479	0.000502642	-1
50	1.04542	1.04702	1.04479	0.000485309	-1
51	1.04537	1.04664	1.04479	0.000407498	-1
52	1.04522	1.04572	1.04479	0.000231142	-1
53	1.04522	1.04572	1.04479	0.000231142	-1
54	1.04522	1.04572	1.04479	0.000230273	-1
55	1.04518	1.04572	1.04473	0.000260868	-1
56	1.04515	1.04572	1.04473	0.000248632	-1
57	1.04512	1.04572	1.04472	0.000268536	-1
58	1.04508	1.04566	1.04472	0.000265062	-1
59	1.04507	1.04566	1.04472	0.000267603	-1
60	1.045	1.04543	1.0447	0.000230772	-1
